PlantCyc.ID	reaction_id	pathway_id	side	Compound.name	KEGG.ID	PubChem.ID	ChEBI.ID
CPD-8257	RXN-8439	PWY-5380	left	fagopyritol A1		9840967	156276
N-ACETYL-D-GLUCOSAMINE-1-P	NAG1P-URIDYLTRANS-RXN	UDPNACETYLGALSYN-PWY	left	N -acetyl-alpha-D-glucosamine 1-phosphate	C04256	25243937	57776
N-ACETYL-D-GLUCOSAMINE-1-P	PHOSACETYLGLUCOSAMINEMUT-RXN	UDPNACETYLGALSYN-PWY	right	N -acetyl-alpha-D-glucosamine 1-phosphate	C04256	25243937	57776
N-ACETYL-D-GLUCOSAMINE-6-P	PHOSACETYLGLUCOSAMINEMUT-RXN	UDPNACETYLGALSYN-PWY	left	N -acetyl-D-glucosamine 6-phosphate	C00357	25243963	57513
N-ACETYL-D-GLUCOSAMINE-6-P	GLUCOSAMINEPNACETYLTRANS-RXN	UDPNACETYLGALSYN-PWY	right	N -acetyl-D-glucosamine 6-phosphate	C00357	25243963	57513
D-GLUCOSAMINE-6-P	L-GLN-FRUCT-6-P-AMINOTRANS-RXN	UDPNACETYLGALSYN-PWY	right	D-glucosamine 6-phosphate	C00352	45266742	58725
D-GLUCOSAMINE-6-P	GLUCOSAMINEPNACETYLTRANS-RXN	UDPNACETYLGALSYN-PWY	left	D-glucosamine 6-phosphate	C00352	45266742	58725
CPD-6221	RXN-6541	PWY-5070	right	gibberellin A 13		25246018	72598
CPD1F-84	RXN1F-99	PWY-5070	right	gibberellin A 25		25244685	143959
CPD1F-84	RXN-6541	PWY-5070	left	gibberellin A 25		25244685	143959
CPD1F-120	RXN1F-164	PWY-5070	left	gibberellin A 24	C11861	25246232	143957
CPD1F-120	RXN-6523	PWY-5070	left	gibberellin A 24	C11861	25246232	143957
CPD1F-120	RXN1F-163	PWY-5070	right	gibberellin A 24	C11861	25246232	143957
CPD1F-120	RXN1F-99	PWY-5070	left	gibberellin A 24	C11861	25246232	143957
CPD-20653	RXN-19157	PWY-7943	left	lycopaoctaene	C22055	5365816	142538
CPD-20653	RXN-19159	PWY-7943	right	lycopaoctaene	C22055	5365816	142538
CPD-20661	RXN-19161	PWY-7943	left	(2 E 6 E ,10 E ,14 E ,18 E ,22 E )-lycopahexaene		131841588	
CPD-20661	RXN-19157	PWY-7943	right	(2 E 6 E ,10 E ,14 E ,18 E ,22 E )-lycopahexaene		131841588	
CPD-20660	RXN-19161	PWY-7943	right	(2 E ,6 E ,10 E ,14 E ,18 E )-lycopapentaene		131841484	
CPD-20660	RXN-19162	PWY-7943	left	(2 E ,6 E ,10 E ,14 E ,18 E )-lycopapentaene		131841484	
CPD-20659	RXN-19162	PWY-7943	right	(2 E ,10 E ,14 E ,18 E )-lycopatetraene		131841595	
CPD-20659	RXN-19163	PWY-7943	left	(2 E ,10 E ,14 E ,18 E )-lycopatetraene		131841595	
CPD-20658	RXN-19164	PWY-7943	left	(2 E ,14 E ,18 E )-lycopatriene		131841492	
CPD-20658	RXN-19163	PWY-7943	right	(2 E ,14 E ,18 E )-lycopatriene		131841492	
CPD-13313	RXN-19164	PWY-7943	right	(14 E ,18 E )-lycopadiene		13889926	142539
CPDQT-256	RXNQT-4312	PWYQT-4474	left	L-pentahomomethionine	C17229	123131565	134635
CPDQT-256	RXNQT-4348	PWYQT-4450	right	L-pentahomomethionine	C17229	123131565	134635
CPDQT-30	RXNQT-4348	PWYQT-4450	left	9-(methylsulfanyl)-2-oxononanoate	C17228	44237169	188603
